Age,Gender,Marital_Status,Dependents,Education,Employment_Type,Employer_Category,Work_Experience_Yrs,City_Tier,Net_Monthly_Income,Monthly_Expenses,Existing_EMI,Debt_To_Income_Ratio,CIBIL_Score,Loan_Amount_Requested,Loan_Tenure_Months,Loan_Approved
60,Female,Single,1,Bachelor,Salaried,MNC,10,Tier 2,65891,35826,0,0.544,673,75000,24,1
43,Female,Single,0,Bachelor,Salaried,Government,7,Tier 3,36865,16419,0,0.445,844,200000,48,1
33,Female,Single,2,Bachelor,Salaried,MNC,2,Tier 3,69063,44703,4481,0.712,786,50000,48,1
52,Male,Married,2,Bachelor,Salaried,MNC,9,Tier 2,69688,49809,0,0.715,716,50000,24,1
35,Male,Single,1,Bachelor,Salaried,MNC,6,Tier 1,59139,28498,0,0.482,661,100000,48,1
56,Female,Married,1,High School,Salaried,MNC,6,Tier 2,46957,16164,0,0.344,900,50000,12,1
25,Male,Single,1,Bachelor,Salaried,MNC,13,Tier 2,83860,51295,0,0.612,552,300000,60,0
42,Male,Married,0,Master,Salaried,Startup,2,Tier 3,97133,68807,0,0.708,642,300000,48,0
36,Male,Single,2,Bachelor,Salaried,Startup,14,Tier 1,32053,23757,0,0.741,475,200000,12,0
61,Male,Married,2,Master,Salaried,Startup,13,Tier 3,59710,39772,4481,0.741,826,750000,48,1
30,Female,Single,2,Bachelor,Salaried,MNC,6,Tier 2,51211,21544,8198,0.581,750,150000,12,1
44,Male,Married,1,High School,Salaried,MNC,6,Tier 1,30243,13948,0,0.461,749,100000,12,1
38,Female,Single,3,Master,Self-Employed,Self-Employed,3,Tier 2,36780,13297,0,0.362,711,100000,24,1
38,Male,Single,1,High School,Salaried,MNC,6,Tier 1,51676,32077,0,0.621,815,50000,36,1
27,Male,Divorced,0,PhD,Salaried,Government,6,Tier 2,62697,23584,8198,0.507,821,150000,12,1
24,Male,Married,1,Bachelor,Salaried,Startup,3,Tier 2,79514,39310,0,0.494,729,400000,48,1
46,Male,Single,2,Bachelor,Salaried,Startup,3,Tier 3,22660,12220,8198,0.901,798,500000,24,0
25,Female,Divorced,2,High School,Self-Employed,Self-Employed,5,Tier 3,49398,23322,8198,0.638,761,300000,36,1
36,Female,Single,1,Master,Salaried,MNC,5,Tier 1,97349,35762,0,0.367,664,400000,60,1
55,Female,Single,0,PhD,Salaried,Government,0,Tier 1,95406,41064,0,0.43,793,200000,12,1
46,Female,Divorced,2,High School,Salaried,Startup,10,Tier 3,34917,20417,0,0.585,584,500000,12,0
38,Female,Single,3,Bachelor,Self-Employed,Self-Employed,4,Tier 2,54768,34343,0,0.627,746,1000000,36,0
49,Female,Married,0,High School,Salaried,Private SME,4,Tier 3,38757,22346,0,0.577,812,100000,24,1
43,Male,Single,2,Master,Salaried,MNC,6,Tier 1,86717,63701,0,0.735,572,500000,60,0
34,Male,Married,1,Bachelor,Self-Employed,Self-Employed,4,Tier 3,51404,29615,0,0.576,661,1000000,36,0
35,Male,Married,2,Bachelor,Salaried,MNC,10,Tier 2,54352,21817,0,0.401,637,400000,60,1
53,Male,Divorced,1,High School,Self-Employed,Self-Employed,4,Tier 1,43212,22512,0,0.521,626,750000,36,0
45,Male,Married,1,Master,Salaried,Private SME,3,Tier 1,74936,50679,8198,0.786,851,300000,24,1
41,Male,Single,2,Bachelor,Salaried,MNC,8,Tier 3,37240,16631,0,0.447,631,1000000,48,1
37,Female,Married,3,Master,Salaried,Startup,9,Tier 2,53026,33494,0,0.632,590,1000000,36,0
43,Male,Single,1,Master,Salaried,MNC,16,Tier 3,72198,47169,0,0.653,645,75000,48,1
37,Male,Married,1,High School,Salaried,MNC,0,Tier 2,14302,10301,4481,1.034,530,200000,36,0
34,Male,Married,0,Bachelor,Self-Employed,Self-Employed,6,Tier 1,52118,25044,0,0.481,763,750000,12,1
49,Male,Married,0,Bachelor,Salaried,MNC,8,Tier 2,58427,24348,8198,0.557,553,400000,24,0
40,Female,Married,2,Bachelor,Self-Employed,Self-Employed,2,Tier 1,53171,28104,8198,0.683,654,100000,12,1
50,Male,Single,0,High School,Salaried,MNC,11,Tier 2,44898,33545,0,0.747,604,75000,60,0
39,Female,Married,2,Master,Self-Employed,Self-Employed,3,Tier 1,79715,56275,4481,0.762,722,500000,48,1
59,Female,Married,1,PhD,Self-Employed,Self-Employed,6,Tier 2,115310,49327,4481,0.467,809,500000,60,1
33,Male,Married,3,PhD,Salaried,Private SME,10,Tier 2,93076,36162,0,0.389,752,50000,48,1
38,Male,Single,0,Master,Salaried,MNC,1,Tier 1,126479,65090,0,0.515,691,75000,48,1
43,Female,Married,0,Bachelor,Self-Employed,Self-Employed,5,Tier 1,55612,20832,0,0.375,576,200000,24,0
53,Female,Single,0,Bachelor,Salaried,MNC,9,Tier 2,70238,45030,0,0.641,566,200000,60,0
59,Female,Married,2,High School,Self-Employed,Self-Employed,6,Tier 3,35907,11363,0,0.316,672,400000,12,1
60,Female,Single,1,Bachelor,Self-Employed,Self-Employed,8,Tier 2,55723,22351,8198,0.548,519,200000,12,0
38,Male,Married,0,High School,Salaried,Private SME,9,Tier 2,25251,7782,0,0.308,640,750000,48,0
29,Male,Single,2,Bachelor,Self-Employed,Self-Employed,3,Tier 1,52977,21298,4481,0.487,728,50000,48,1
53,Male,Married,2,Master,Salaried,MNC,12,Tier 1,51852,16776,8198,0.482,640,200000,48,1
52,Female,Single,2,PhD,Salaried,MNC,2,Tier 2,124740,75230,0,0.603,540,100000,60,0
37,Female,Married,0,PhD,Salaried,MNC,11,Tier 2,93819,52221,8198,0.644,669,1000000,60,1
39,Male,Single,1,High School,Salaried,MNC,7,Tier 2,46481,18418,8198,0.573,723,300000,36,1
47,Male,Married,2,Master,Salaried,Private SME,3,Tier 2,27118,10637,8198,0.695,716,50000,12,1
26,Male,Single,1,High School,Salaried,MNC,2,Tier 3,15756,6791,6302,0.831,581,75000,48,0
55,Male,Married,0,Bachelor,Self-Employed,Self-Employed,7,Tier 1,48661,32077,0,0.659,693,750000,60,0
57,Female,Single,0,Bachelor,Salaried,Private SME,5,Tier 1,26597,9780,8198,0.676,658,750000,36,0
54,Female,Single,3,Bachelor,Salaried,Government,7,Tier 1,12000,4257,0,0.355,623,75000,48,0
40,Female,Married,0,PhD,Salaried,Private SME,5,Tier 1,113622,60063,0,0.529,785,150000,12,1
45,Male,Single,2,Bachelor,Salaried,Startup,6,Tier 3,61483,42375,4481,0.762,615,1000000,60,0
24,Male,Single,1,Bachelor,Salaried,MNC,8,Tier 2,39079,15664,0,0.401,515,100000,48,0
30,Female,Divorced,2,High School,Salaried,Private SME,5,Tier 2,40225,13990,0,0.348,664,500000,24,1
30,Female,Divorced,2,Master,Self-Employed,Self-Employed,4,Tier 3,123845,64555,0,0.521,671,50000,24,1
44,Male,Married,1,Bachelor,Salaried,Startup,7,Tier 3,36427,22929,0,0.629,666,750000,12,0
41,Female,Single,1,Master,Self-Employed,Self-Employed,4,Tier 2,98908,57193,0,0.578,408,150000,36,0
31,Male,Single,2,Master,Salaried,Startup,8,Tier 3,61956,30245,0,0.488,668,500000,36,1
47,Male,Married,1,Master,Self-Employed,Self-Employed,7,Tier 1,57587,18322,0,0.318,671,500000,24,1
36,Male,Single,2,Bachelor,Salaried,Private SME,8,Tier 3,29922,13024,8198,0.709,813,300000,12,0
46,Male,Divorced,2,Bachelor,Salaried,MNC,8,Tier 1,57847,41283,0,0.714,677,1000000,24,0
50,Male,Single,1,Bachelor,Self-Employed,Self-Employed,5,Tier 2,71122,28469,0,0.4,720,750000,48,1
36,Male,Divorced,1,PhD,Self-Employed,Self-Employed,0,Tier 1,97937,56439,4481,0.622,703,500000,60,1
27,Female,Married,0,Master,Salaried,MNC,5,Tier 3,68395,48447,4481,0.774,829,100000,36,1
36,Male,Married,2,High School,Self-Employed,Self-Employed,6,Tier 1,29434,15295,4481,0.672,691,300000,60,0
55,Male,Single,0,High School,Self-Employed,Self-Employed,5,Tier 2,62725,31414,4481,0.572,763,75000,12,1
36,Female,Married,3,Bachelor,Salaried,MNC,3,Tier 2,43829,15930,8198,0.551,543,50000,12,0
60,Male,Single,3,Master,Salaried,Startup,10,Tier 2,58963,43707,0,0.741,820,200000,24,1
32,Male,Married,0,Bachelor,Salaried,Private SME,2,Tier 2,23742,9010,4481,0.568,632,400000,12,0
55,Female,Married,0,Master,Salaried,Private SME,3,Tier 2,121543,62795,4481,0.554,643,300000,60,1
41,Male,Single,1,PhD,Salaried,Private SME,4,Tier 3,33778,12737,0,0.377,690,150000,36,1
56,Male,Married,3,Bachelor,Salaried,Government,4,Tier 1,74007,33804,0,0.457,746,150000,24,1
37,Male,Married,1,Bachelor,Salaried,MNC,3,Tier 1,66984,46741,8198,0.82,651,750000,12,0
52,Male,Single,1,Master,Salaried,Startup,5,Tier 2,61274,36120,0,0.589,734,100000,48,1
61,Female,Married,2,Bachelor,Salaried,Private SME,6,Tier 3,59551,18129,0,0.304,670,75000,12,1
26,Female,Single,0,Bachelor,Salaried,Government,2,Tier 2,64315,47274,8198,0.863,696,300000,36,0
44,Female,Single,1,Bachelor,Salaried,Government,1,Tier 1,100349,65503,0,0.653,542,50000,24,0
47,Female,Married,0,Bachelor,Salaried,Government,8,Tier 2,90200,67549,0,0.749,774,75000,36,1
40,Female,Married,2,Master,Salaried,MNC,5,Tier 2,94182,60586,0,0.643,729,150000,60,1
45,Male,Single,0,Bachelor,Self-Employed,Self-Employed,10,Tier 1,60061,38690,4481,0.719,630,750000,60,0
22,Female,Married,1,Bachelor,Self-Employed,Self-Employed,8,Tier 2,68333,42005,0,0.615,577,150000,12,0
29,Male,Married,2,Master,Salaried,MNC,4,Tier 1,80599,39530,8198,0.592,611,1000000,48,0
48,Female,Married,1,Bachelor,Salaried,MNC,7,Tier 2,62118,27439,4481,0.514,702,100000,48,1
58,Female,Married,2,Bachelor,Self-Employed,Self-Employed,8,Tier 2,41994,22522,8198,0.732,607,50000,24,0
23,Male,Single,0,Master,Salaried,Government,2,Tier 1,72418,27533,0,0.38,737,500000,12,1
40,Male,Married,1,Master,Salaried,MNC,0,Tier 3,95294,59567,8198,0.711,714,150000,36,1
26,Male,Married,0,Bachelor,Salaried,MNC,2,Tier 1,56101,42008,0,0.749,634,75000,12,0
59,Male,Single,1,High School,Salaried,Private SME,8,Tier 1,45366,25877,0,0.57,592,400000,48,0
53,Female,Married,0,Master,Salaried,Startup,12,Tier 3,60334,41353,0,0.685,718,50000,36,1
21,Female,Single,0,Bachelor,Self-Employed,Self-Employed,5,Tier 1,54065,20412,4481,0.46,588,100000,36,0
57,Male,Single,0,Bachelor,Salaried,MNC,11,Tier 1,30282,20327,4481,0.819,552,1000000,48,0
26,Male,Married,1,High School,Self-Employed,Self-Employed,9,Tier 1,49582,35121,0,0.708,712,200000,24,1
54,Male,Married,1,High School,Salaried,MNC,3,Tier 2,13924,9433,5569,1.077,563,400000,12,0
35,Male,Married,1,Master,Salaried,Private SME,5,Tier 2,87218,50784,0,0.582,524,100000,48,0
46,Male,Married,0,Bachelor,Salaried,Private SME,8,Tier 2,27641,19815,8198,1.013,533,150000,12,0
34,Male,Divorced,2,Master,Self-Employed,Self-Employed,1,Tier 1,48643,35638,8198,0.901,667,200000,12,0
27,Female,Married,1,Bachelor,Salaried,Government,9,Tier 1,35346,23572,0,0.667,740,1000000,24,0
51,Male,Married,1,Bachelor,Salaried,Private SME,10,Tier 2,72188,39429,0,0.546,787,75000,36,1
44,Male,Single,2,PhD,Salaried,MNC,9,Tier 1,49248,33285,0,0.676,686,750000,48,0
51,Female,Single,1,High School,Salaried,Startup,5,Tier 2,35904,16780,0,0.467,699,400000,36,0
49,Male,Single,0,Bachelor,Salaried,Startup,7,Tier 2,46648,21269,0,0.456,664,75000,60,1
52,Female,Married,1,High School,Salaried,Private SME,9,Tier 3,34920,15943,0,0.457,577,300000,48,0
37,Female,Married,3,Bachelor,Salaried,Startup,0,Tier 1,69961,27260,8198,0.507,771,400000,12,1
34,Male,Single,1,High School,Salaried,MNC,0,Tier 2,36712,21304,8198,0.804,657,1000000,48,0
60,Male,Single,2,High School,Self-Employed,Self-Employed,8,Tier 2,36495,21811,0,0.598,579,150000,36,0
56,Male,Single,2,PhD,Self-Employed,Self-Employed,3,Tier 3,58812,40394,0,0.687,766,150000,60,1
44,Male,Single,1,Bachelor,Salaried,MNC,6,Tier 3,35949,22019,8198,0.841,558,500000,24,0
47,Male,Divorced,2,Master,Salaried,Government,6,Tier 3,36399,23694,0,0.651,613,75000,48,1
45,Female,Married,1,Bachelor,Salaried,MNC,10,Tier 1,47893,29213,0,0.61,489,75000,24,0
52,Male,Single,1,Bachelor,Self-Employed,Self-Employed,6,Tier 1,84699,51977,0,0.614,591,75000,60,0
38,Male,Married,1,High School,Salaried,Private SME,8,Tier 2,41017,18590,4481,0.562,530,75000,36,0
38,Male,Married,2,Bachelor,Salaried,Private SME,7,Tier 1,56145,41246,0,0.735,755,400000,60,1
57,Female,Married,1,Bachelor,Self-Employed,Self-Employed,9,Tier 2,23872,14023,4481,0.775,792,150000,48,0
46,Male,Single,0,High School,Salaried,Private SME,3,Tier 1,54105,30526,0,0.564,558,200000,12,0
29,Male,Married,2,Master,Salaried,MNC,7,Tier 2,117493,80041,0,0.681,647,500000,36,1
55,Male,Single,2,Bachelor,Salaried,Private SME,0,Tier 3,38266,18728,0,0.489,900,400000,48,1
28,Female,Married,3,Bachelor,Salaried,MNC,3,Tier 1,35473,12178,8198,0.574,597,500000,36,0
40,Male,Married,1,Bachelor,Self-Employed,Self-Employed,10,Tier 2,83769,34181,0,0.408,880,200000,36,1
42,Female,Married,0,PhD,Salaried,MNC,0,Tier 1,100393,66624,8198,0.745,710,500000,48,1
39,Female,Single,0,High School,Salaried,Private SME,1,Tier 1,62564,39372,0,0.629,744,50000,12,1
50,Male,Single,2,Bachelor,Salaried,MNC,8,Tier 1,78569,27714,4481,0.41,900,200000,12,1
48,Female,Single,0,Bachelor,Self-Employed,Self-Employed,3,Tier 1,16549,5483,0,0.331,714,1000000,48,1
55,Male,Divorced,3,High School,Salaried,Startup,11,Tier 1,60771,35238,0,0.58,600,75000,36,1
31,Female,Single,0,Bachelor,Self-Employed,Self-Employed,6,Tier 2,57609,41616,8198,0.865,557,200000,36,0
51,Female,Single,3,Bachelor,Salaried,Government,12,Tier 3,55458,21002,8198,0.527,594,75000,48,0
59,Male,Divorced,2,High School,Salaried,Government,12,Tier 1,38957,21311,0,0.547,660,300000,48,1
56,Male,Married,2,High School,Self-Employed,Self-Employed,11,Tier 3,37405,24888,0,0.665,786,750000,60,0
50,Female,Married,0,Master,Self-Employed,Self-Employed,3,Tier 3,33206,17861,4481,0.673,590,75000,12,0
43,Male,Single,1,High School,Self-Employed,Self-Employed,1,Tier 2,57891,26514,0,0.458,707,1000000,36,0
39,Male,Married,0,Bachelor,Salaried,Private SME,11,Tier 2,43928,28806,0,0.656,622,75000,36,0
32,Male,Married,0,High School,Salaried,Government,5,Tier 1,34137,22088,0,0.647,684,1000000,36,0
35,Female,Married,1,High School,Salaried,Government,6,Tier 2,46586,31385,4481,0.77,586,100000,36,0
51,Female,Single,2,Bachelor,Self-Employed,Self-Employed,10,Tier 3,89993,65271,0,0.725,778,1000000,48,1
57,Male,Married,0,Bachelor,Self-Employed,Self-Employed,1,Tier 1,53326,19612,0,0.368,791,200000,12,1
57,Male,Married,3,Bachelor,Salaried,Government,8,Tier 2,58995,26745,0,0.453,679,1000000,60,1
35,Male,Married,0,High School,Salaried,Government,4,Tier 1,58118,43222,0,0.744,635,750000,48,0
49,Female,Married,1,Master,Self-Employed,Self-Employed,9,Tier 2,89538,50816,0,0.568,637,100000,36,1
46,Male,Single,0,Bachelor,Salaried,Government,7,Tier 1,64381,38728,8198,0.729,778,750000,12,1
22,Female,Single,2,High School,Salaried,Startup,9,Tier 2,12000,8374,0,0.698,707,750000,12,0
40,Male,Married,0,Bachelor,Self-Employed,Self-Employed,4,Tier 2,49045,29965,0,0.611,635,750000,24,0
35,Female,Married,3,High School,Salaried,Startup,3,Tier 1,40859,24820,8198,0.808,561,150000,48,0
24,Male,Divorced,1,Bachelor,Salaried,Private SME,6,Tier 1,58164,20184,8198,0.488,798,1000000,12,1
42,Male,Married,3,Bachelor,Self-Employed,Self-Employed,3,Tier 3,73322,38719,0,0.528,764,300000,48,1
58,Male,Married,0,High School,Salaried,Government,3,Tier 2,21374,12887,8198,0.986,716,75000,12,0
43,Female,Married,1,High School,Salaried,Private SME,3,Tier 2,24175,16034,4481,0.849,790,50000,12,0
46,Female,Single,2,Bachelor,Salaried,Private SME,8,Tier 2,74444,36176,8198,0.596,736,75000,60,1
31,Male,Married,2,Master,Salaried,Startup,13,Tier 3,103665,36862,0,0.356,837,150000,24,1
48,Female,Single,1,High School,Salaried,Private SME,9,Tier 1,24022,11161,8198,0.806,648,400000,48,0
22,Female,Single,3,High School,Self-Employed,Self-Employed,8,Tier 3,42268,20854,4481,0.599,601,75000,36,1
28,Male,Married,0,Bachelor,Self-Employed,Self-Employed,8,Tier 1,50120,31974,8198,0.802,682,1000000,60,0
49,Male,Married,2,Bachelor,Salaried,Startup,2,Tier 1,42114,13009,0,0.309,637,50000,36,1
31,Male,Married,1,High School,Self-Employed,Self-Employed,8,Tier 2,21706,10280,0,0.474,612,100000,60,0
57,Male,Married,0,Bachelor,Salaried,Startup,0,Tier 3,37063,18588,4481,0.622,577,400000,12,0
38,Female,Married,1,Bachelor,Salaried,Startup,7,Tier 1,38568,21117,4481,0.664,455,100000,24,0
34,Female,Single,3,High School,Salaried,Government,8,Tier 2,60223,44354,4481,0.811,708,75000,48,0
30,Female,Married,3,Bachelor,Self-Employed,Self-Employed,9,Tier 2,64906,41103,0,0.633,725,50000,12,1
55,Male,Married,1,High School,Self-Employed,Self-Employed,8,Tier 1,42478,16995,0,0.4,585,100000,36,0
29,Male,Married,3,Master,Salaried,Government,1,Tier 3,44010,25752,0,0.585,535,400000,24,0
55,Female,Single,1,PhD,Salaried,Private SME,3,Tier 2,130392,59427,0,0.456,701,100000,36,1
31,Female,Single,2,Bachelor,Self-Employed,Self-Employed,10,Tier 3,83859,55777,0,0.665,757,200000,48,1
32,Female,Married,0,Bachelor,Salaried,MNC,7,Tier 2,59905,22583,4481,0.452,640,300000,36,1
23,Female,Married,1,Master,Self-Employed,Self-Employed,7,Tier 1,77834,28411,4481,0.423,769,200000,24,1
59,Female,Married,0,Bachelor,Salaried,Government,3,Tier 2,57708,19945,4481,0.423,803,50000,48,1
34,Male,Married,0,Master,Salaried,Startup,1,Tier 2,94240,51346,0,0.545,606,200000,12,1
48,Male,Divorced,1,Bachelor,Salaried,Government,3,Tier 2,25779,9163,0,0.355,879,100000,12,1
31,Female,Divorced,2,Bachelor,Salaried,MNC,0,Tier 1,33705,10744,0,0.319,837,500000,24,1
59,Female,Married,1,Bachelor,Self-Employed,Self-Employed,8,Tier 2,38998,17533,0,0.45,716,200000,24,1
45,Male,Married,3,Bachelor,Salaried,Government,0,Tier 3,45601,30059,4481,0.757,860,500000,24,1
41,Male,Single,2,Bachelor,Salaried,MNC,3,Tier 2,61106,22623,0,0.37,739,750000,36,1
30,Female,Married,0,High School,Salaried,Private SME,13,Tier 1,52748,24319,0,0.461,612,75000,12,1
35,Male,Married,1,Bachelor,Salaried,Startup,5,Tier 3,73611,36517,8198,0.607,600,150000,12,1
39,Male,Divorced,2,Bachelor,Salaried,Private SME,2,Tier 2,23568,16360,8198,1.042,570,1000000,12,0
42,Male,Single,3,Bachelor,Salaried,MNC,14,Tier 2,92823,47744,0,0.514,773,50000,48,1
41,Female,Married,3,PhD,Salaried,Government,4,Tier 1,158745,84195,0,0.53,831,1000000,60,1
52,Female,Married,2,Bachelor,Self-Employed,Self-Employed,13,Tier 2,87848,36420,0,0.415,821,750000,24,1
43,Male,Married,1,High School,Salaried,MNC,4,Tier 3,28845,17331,8198,0.885,578,1000000,48,0
33,Female,Single,2,Master,Salaried,MNC,9,Tier 1,60952,18989,4481,0.385,895,500000,60,1
25,Male,Married,0,PhD,Self-Employed,Self-Employed,15,Tier 1,37594,27593,0,0.734,644,75000,24,0
24,Male,Married,0,Bachelor,Self-Employed,Self-Employed,6,Tier 1,60728,31830,4481,0.598,819,300000,60,1
48,Female,Married,2,High School,Salaried,Private SME,4,Tier 1,42310,13869,4481,0.434,696,200000,12,1
34,Female,Single,2,Bachelor,Salaried,Government,8,Tier 2,47720,26323,0,0.552,584,200000,60,0
28,Female,Married,3,High School,Salaried,MNC,2,Tier 1,25710,13659,0,0.531,786,100000,24,1
29,Female,Single,1,Master,Salaried,Government,11,Tier 1,80254,32769,8198,0.51,760,50000,48,1
55,Male,Single,2,Master,Self-Employed,Self-Employed,3,Tier 3,69682,27452,0,0.394,557,300000,24,0
57,Male,Married,2,Bachelor,Self-Employed,Self-Employed,0,Tier 2,62789,26487,0,0.422,653,300000,60,1
41,Male,Married,2,Master,Salaried,MNC,5,Tier 1,116415,41720,0,0.358,611,200000,60,1
38,Male,Married,1,Bachelor,Salaried,Startup,4,Tier 2,68384,36868,4481,0.605,691,750000,24,1
53,Male,Married,2,PhD,Salaried,MNC,0,Tier 1,95760,66603,0,0.696,728,1000000,12,0
28,Female,Single,1,PhD,Salaried,Government,6,Tier 1,94336,67488,4481,0.763,656,750000,24,1
37,Male,Married,2,High School,Salaried,MNC,1,Tier 2,23968,17468,8198,1.071,637,1000000,24,0
51,Female,Single,2,High School,Salaried,Government,4,Tier 2,37774,21537,0,0.57,699,50000,60,1
54,Female,Divorced,2,Bachelor,Self-Employed,Self-Employed,1,Tier 3,61225,35491,0,0.58,588,400000,36,0
26,Female,Married,0,PhD,Salaried,Government,8,Tier 3,117514,51674,8198,0.509,733,300000,60,1
42,Male,Married,1,PhD,Salaried,Private SME,5,Tier 3,109457,76445,4481,0.739,496,100000,60,0
34,Male,Married,1,Bachelor,Salaried,Private SME,0,Tier 3,49829,25894,0,0.52,615,150000,60,0
23,Male,Married,0,High School,Salaried,MNC,11,Tier 2,57738,24578,0,0.426,728,150000,60,1
32,Male,Married,3,High School,Self-Employed,Self-Employed,7,Tier 3,12000,8814,4800,1.134,664,150000,12,0
56,Female,Single,0,Master,Self-Employed,Self-Employed,4,Tier 2,89600,55320,0,0.617,605,400000,48,1
32,Male,Single,1,Bachelor,Salaried,MNC,2,Tier 1,35897,18274,0,0.509,702,150000,24,1
22,Male,Married,2,Bachelor,Self-Employed,Self-Employed,5,Tier 1,85636,28335,4481,0.383,557,1000000,24,0
22,Female,Divorced,0,Bachelor,Self-Employed,Self-Employed,0,Tier 1,74816,27163,0,0.363,648,300000,36,0
35,Male,Single,2,Master,Self-Employed,Self-Employed,11,Tier 3,34545,13417,4481,0.518,709,50000,12,1
43,Female,Single,1,Master,Salaried,Startup,10,Tier 2,47138,33292,0,0.706,647,500000,36,0
49,Female,Married,0,Bachelor,Salaried,Private SME,4,Tier 3,20348,15000,4481,0.957,673,150000,24,0
37,Female,Married,3,Bachelor,Salaried,Government,4,Tier 1,70162,29477,0,0.42,785,100000,36,1
52,Male,Single,0,Master,Salaried,MNC,2,Tier 2,86465,45328,0,0.524,715,750000,60,1
27,Male,Single,1,Master,Self-Employed,Self-Employed,7,Tier 1,98756,64818,0,0.656,596,75000,60,0
50,Female,Married,0,Bachelor,Salaried,MNC,7,Tier 3,12000,5677,0,0.473,644,500000,24,0
48,Male,Married,0,Bachelor,Self-Employed,Self-Employed,8,Tier 3,38597,20131,0,0.522,718,300000,36,1
34,Female,Single,3,Bachelor,Salaried,Private SME,7,Tier 3,69693,48745,0,0.699,737,300000,60,1
50,Female,Single,2,Bachelor,Salaried,Startup,2,Tier 1,80522,31675,8198,0.495,706,1000000,12,1
37,Female,Married,0,High School,Salaried,Private SME,3,Tier 1,33624,25124,0,0.747,754,300000,12,1
